Taxon_raw,Taxon_clean,Edited_for_clean_name
Abudefduf septemfasciatus,Abudefduf septemfasciatus,No
Abudefduf sexfasciatus,Abudefduf sexfasciatus,No
Abudefduf sordidus,Abudefduf sordidus,No
Acanthurus achilles,Acanthurus achilles,No
Acanthurus bleekeri,Acanthurus mata,Yes
Acanthurus blochii,Acanthurus blochii,No
Acanthurus guttatus,Acanthurus guttatus,No
Acanthurus lineatus,Acanthurus lineatus,No
Acanthurus nigricans,Acanthurus nigricans,No
Acanthurus nigricauda,Acanthurus nigricauda,No
Acanthurus nigrofuscus,Acanthurus nigrofuscus,No
Acanthurus nigros,Acanthurus nigros,No
Acanthurus olivaceus,Acanthurus olivaceus,No
Acanthurus pyroferus,Acanthurus pyroferus,No
Acanthurus thompsoni,Acanthurus thompsoni,No
Acanthurus triostegus,Acanthurus triostegus,No
Aetobatus narinari,Aetobatus narinari,No
Aluterus scriptus,Aluterus scriptus,No
Amanses scopas,Amanses scopas,No
Amblyeleotris fasciata,Amblyeleotris fasciata,No
Amblygobius nocturnus,Amblygobius nocturnus,No
Amblygobius phalaena,Amblygobius phalaena,No
Amphiprion chrysopterus,Amphiprion chrysopterus,No
Anampses caeruleopunctatus,Anampses caeruleopunctatus,No
Anampses melanurus,Anampses melanurus,No
Anampses meleagrides,Anampses meleagrides,No
Anampses twistii,Anampses twistii,No
Aphareus furca,Aphareus furca,No
Aprion virescens,Aprion virescens,No
Arothron hispidus,Arothron hispidus,No
Arothron meleagris,Arothron meleagris,No
Arothron stellatus,Arothron stellatus,No
Aspidontus dussumieri,Aspidontus dussumieri,No
Aspidontus taeniatus,Aspidontus taeniatus,No
Asterropteryx ensifera,Asterropteryx ensifera,No
Asterropteryx semipunctata,Asterropteryx semipunctata,No
Asterropteryx striata,Asterropteryx striata,No
Atrosalarias fuscus,Atrosalarias fuscus,No
Atrosalarias fuscus holomelas,Atrosalarias holomelas,Yes
Aulostomus chinensis,Aulostomus chinensis,No
Balistoides viridescens,Balistoides viridescens,No
Blenniella paula,Blenniella paula,No
Bodianus axillaris,Bodianus axillaris,No
Bothus mancus,Bothus mancus,No
Bryaninops tigris,Bryaninops tigris,No
Callionymus filamentosus,Callionymus filamentosus,No
Calotomus carolinus,Calotomus carolinus,No
Cantherhines dumerilii,Cantherhines dumerilii,No
Cantherhines pardalis,Cantherhines pardalis,No
Cantherhines sandwichiensis,Cantherhines sandwichiensis,No
Canthidermis maculatus,Canthidermis maculata,Yes
Canthigaster amboinensis,Canthigaster amboinensis,No
Canthigaster bennetti,Canthigaster bennetti,No
Canthigaster janthinoptera,Canthigaster janthinoptera,No
Canthigaster solandri,Canthigaster solandri,No
Canthigaster valentini,Canthigaster valentini,No
Caracanthus maculatus,Caracanthus maculatus,No
Caracanthus unipinna,Caracanthus unipinna,No
Carangoides ferdau,Carangoides ferdau,No
Carangoides orthogrammus,Carangoides orthogrammus,No
Caranx lugubris,Caranx lugubris,No
Caranx melampygus,Caranx melampygus,No
Carcharhinus amblyrhynchos,Carcharhinus amblyrhynchos,No
Carcharhinus melanopterus,Carcharhinus melanopterus,No
Centropyge bispinosa,Centropyge bispinosa,No
Centropyge flavicauda,Centropyge fisheri,Yes
Centropyge flavissima,Centropyge flavissima,No
Centropyge heraldi,Centropyge heraldi,No
Centropyge loricula,Centropyge loriculus,Yes
Centropyge multifasciata,Paracentropyge multifasciata,Yes
Cephalopholis argus,Cephalopholis argus,No
Cephalopholis sexmaculata,Cephalopholis sexmaculata,No
Cephalopholis urodeta,Cephalopholis urodeta,No
Cetoscarus ocellatus,Cetoscarus ocellatus,No
Chaetodon auriga,Chaetodon auriga,No
Chaetodon bennetti,Chaetodon bennetti,No
Chaetodon citrinellus,Chaetodon citrinellus,No
Chaetodon ephippium,Chaetodon ephippium,No
Chaetodon lunula,Chaetodon lunula,No
Chaetodon lunulatus,Chaetodon lunulatus,No
Chaetodon mertensii,Chaetodon mertensii,No
Chaetodon ornatissimus,Chaetodon ornatissimus,No
Chaetodon pelewensis,Chaetodon pelewensis,No
Chaetodon quadrimaculatus,Chaetodon quadrimaculatus,No
Chaetodon reticulatus,Chaetodon reticulatus,No
Chaetodon trichrous,Chaetodon trichrous,No
Chaetodon trifascialis,Chaetodon trifascialis,No
Chaetodon ulietensis,Chaetodon ulietensis,No
Chaetodon unimaculatus,Chaetodon unimaculatus,No
Chaetodon vagabundus,Chaetodon vagabundus,No
Chanos chanos,Chanos chanos,No
Cheilinus chlorourus,Cheilinus chlorourus,No
Cheilinus oxycephalus,Cheilinus oxycephalus,No
Cheilinus trilobatus,Cheilinus trilobatus,No
Cheilinus undulatus,Cheilinus undulatus,No
Cheilio inermis,Cheilio inermis,No
Cheilodipterus macrodon,Cheilodipterus macrodon,No
Cheilodipterus quinquelineatus,Cheilodipterus quinquelineatus,No
Cheilopogon simus,Cypselurus simus,Yes
Chlorurus frontalis,Chlorurus frontalis,No
Chlorurus microrhinos,Chlorurus microrhinos,No
Chlorurus sordidus,Chlorurus sordidus,No
Chromis acares,Chromis acares,No
Chromis agilis,Chromis agilis,No
Chromis atripectoralis,Chromis atripectoralis,No
Chromis iomelas,Chromis iomelas,No
Chromis margaritifer,Chromis margaritifer,No
Chromis vanderbilti,Chromis vanderbilti,No
Chromis viridis,Chromis viridis,No
Chromis xanthura,Chromis xanthura,No
Chrysiptera brownriggii,Chrysiptera brownriggii,No
Chrysiptera glauca,Chrysiptera glauca,No
Cirrhilabrus exquisitus,Cirrhilabrus exquisitus,No
Cirrhilabrus scottorum,Cirrhilabrus scottorum,No
Cirrhitichthys oxycephalus,Cirrhitichthys oxycephalus,No
Cirripectes variolosus,Cirripectes variolosus,No
Coris aygula,Coris aygula,No
Coris gaimard,Coris gaimard,No
Corythoichthys flavofasciatus,Corythoichthys flavofasciatus,No
Ctenochaetus binotatus,Ctenochaetus binotatus,No
Ctenochaetus flavicauda,Ctenochaetus flavicauda,No
Ctenochaetus striatus,Ctenochaetus striatus,No
Ctenogobiops feroculus,Ctenogobiops feroculus,No
Dascyllus aruanus,Dascyllus aruanus,No
Dascyllus flavicaudus,Dascyllus flavicaudus,No
Dascyllus trimaculatus,Dascyllus trimaculatus,No
Diodon hystrix,Diodon hystrix,No
Diplogrammus goramensis,Diplogrammus goramensis,No
Echeneis naucrates,Echeneis naucrates,No
Echidna nebulosa,Echidna nebulosa,No
Epibulus insidiator,Epibulus insidiator,No
Epinephelus fasciatus,Epinephelus fasciatus,No
Epinephelus hexagonatus,Epinephelus hexagonatus,No
Epinephelus merra,Epinephelus merra,No
Eviota infulata,Eviota infulata,No
Exallias brevis,Exallias brevis,No
Fistularia commersonii,Fistularia commersonii,No
Forcipiger flavissimus,Forcipiger flavissimus,No
Forcipiger longirostris,Forcipiger longirostris,No
Fusigobius neophytus,Fusigobius neophytus,No
Gnathanodon speciosus,Gnathanodon speciosus,No
Gnathodentex aureolineatus,Gnathodentex aureolineatus,No
Gnatholepis anjerensis,Gnatholepis anjerensis,No
Gobiodon sp.,Gobiodon,Yes
Gomphosus varius,Gomphosus varius,No
Grammistes sexlineatus,Grammistes sexlineatus,No
Gymnomuraena zebra,Gymnomuraena zebra,No
Gymnothorax buroensis,Gymnothorax buroensis,No
Gymnothorax eurostus,Gymnothorax eurostus,No
Gymnothorax fimbriatus,Gymnothorax fimbriatus,No
Gymnothorax flavimarginatus,Gymnothorax flavimarginatus,No
Gymnothorax javanicus,Gymnothorax javanicus,No
Gymnothorax meleagris,Gymnothorax meleagris,No
Gymnothorax pictus,Gymnothorax pictus,No
Gymnothorax undulatus,Gymnothorax undulatus,No
Halichoeres claudia,Halichoeres claudia,No
Halichoeres hortulanus,Halichoeres hortulanus,No
Halichoeres margaritaceus,Halichoeres margaritaceus,No
Halichoeres marginatus,Halichoeres marginatus,No
Halichoeres sp.,Halichoeres,No
Halichoeres trimaculatus,Halichoeres trimaculatus,No
Hemigymnus fasciatus,Hemigymnus fasciatus,No
Hemitaurichthys polylepis,Hemitaurichthys polylepis,No
Heniochus acuminatus,Heniochus acuminatus,No
Heniochus chrysostomus,Heniochus chrysostomus,No
Heniochus monoceros,Heniochus monoceros,No
Hipposcarus longiceps,Hipposcarus longiceps,No
Hologymnosus annulatus,Hologymnosus annulatus,No
Hologymnosus doliatus,Hologymnosus doliatus,No
Hyporhamphus affinis,Hyporhamphus affinis,No
Labroides bicolor,Labroides bicolor,No
Labroides dimidiatus,Labroides dimidiatus,No
Labroides rubrolabiatus,Labroides rubrolabiatus,No
Lactoria cornuta,Lactoria cornuta,No
Lepidozygus tapeinosoma,Lepidozygus tapeinosoma,No
Leptoscarus vaigiensis,Leptoscarus vaigiensis,No
Lethrinus olivaceus,Lethrinus olivaceus,No
Lethrinus xanthochilus,Lethrinus xanthochilus,No
Lutjanus bohar,Lutjanus bohar,No
Lutjanus fulvus,Lutjanus fulvus,No
Lutjanus kasmira,Lutjanus kasmira,No
Lutjanus monostigma,Lutjanus monostigma,No
Lutjanus rivulatus,Lutjanus rivulatus,No
Macropharyngodon meleagris,Macropharyngodon meleagris,No
Macropharyngodon ornatus,Macropharyngodon ornatus,No
Malacanthus brevirostris,Malacanthus brevirostris,No
Melichthys niger,Melichthys niger,No
Melichthys vidua,Melichthys vidua,No
Monotaxis grandoculis,Monotaxis grandoculis,No
Mulloidichthys flavolineatus,Mulloidichthys flavolineatus,No
Mulloidichthys vanicolensis,Mulloidichthys vanicolensis,No
Myripristis amaena,Myripristis amaena,No
Myripristis berndti,Myripristis berndti,No
Myripristis kuntee,Myripristis kuntee,No
Myripristis murdjan,Myripristis murdjan,No
Myripristis violacea,Myripristis violacea,No
Naso annulatus,Naso annulatus,No
Naso brachycentron,Naso brachycentron,No
Naso brevirostris,Naso brevirostris,No
Naso hexacanthus,Naso hexacanthus,No
Naso lituratus,Naso lituratus,No
Naso unicornis,Naso unicornis,No
Naso vlamingii,Naso vlamingii,No
Nebrius ferrugineus,Nebrius ferrugineus,No
Nectamia fusca,Nectamia fusca,No
Negaprion acutidens,Negaprion acutidens,No
Nemateleotris magnifica,Nemateleotris magnifica,No
Neocirrhites armatus,Neocirrhites armatus,No
Neoniphon argenteus,Neoniphon argenteus,No
Neoniphon opercularis,Neoniphon opercularis,No
Neoniphon sammara,Neoniphon sammara,No
No fish observed,No fish observed,No
Novaculichthys taeniourus,Novaculichthys taeniourus,No
Odonus niger,Odonus niger,No
Ostorhinchus angustatus,Ostorhinchus angustatus,No
Ostorhinchus nigrofasciatus,Ostorhinchus nigrofasciatus,No
Ostracion cubicus,Ostracion cubicus,No
Ostracion meleagris,Ostracion meleagris,No
Oxycheilinus bimaculatus,Oxycheilinus bimaculatus,No
Oxycheilinus lineatus,Oxycheilinus lineatus,No
Oxycheilinus unifasciatus,Oxycheilinus unifasciatus,No
Paracirrhites arcatus,Paracirrhites arcatus,No
Paracirrhites forsteri,Paracirrhites forsteri,No
Paracirrhites hemistictus,Paracirrhites hemistictus,No
Paragobiodon echinocephalus,Paragobiodon echinocephalus,No
Paragobiodon lacunicolus,Paragobiodon lacunicolus,No
Paragobiodon modestus,Paragobiodon modestus,No
Parapercis millepunctata,Parapercis millepunctata,No
Parapercis multiplicata,Parapercis multiplicata,No
Parupeneus barberinus,Parupeneus barberinus,No
Parupeneus ciliatus,Parupeneus ciliatus,No
Parupeneus cyclostomus,Parupeneus cyclostomus,No
Parupeneus insularis,Parupeneus insularis,No
Parupeneus multifasciatus,Parupeneus multifasciatus,No
Parupeneus pleurostigma,Parupeneus pleurostigma,No
Petroscirtes xestus,Petroscirtes xestus,No
Plagiotremus tapeinosoma,Plagiotremus tapeinosoma,No
Platax orbicularis,Platax orbicularis,No
Platybelone argalus,Platybelone argalus argalus,No
Platybelone argalus platyura,Platybelone argalus platyura,No
Plectroglyphidodon dickii,Plectroglyphidodon dickii,No
Plectroglyphidodon flaviventris,Plectroglyphidodon flaviventris,No
Plectroglyphidodon johnstonianus,Plectroglyphidodon johnstonianus,No
