SpecCode,Species,autoctr,StockCode,Locality,C_Code,FoodsRefNo,FoodI,PreyStage,FoodII,FoodIII,Commoness,CommonessII,Foodgroup,Foodname,PreySpecCode,PreySpecCodeSLB,AlphaCode,PreyTroph,PreySeTroph,TrophRefNo,PredatorStage,Locality2,Entered,Dateentered,Modified,Datemodified,Expert,Datechecked,TS
5687,Abudefduf septemfasciatus,12166,5980,Bikini.,584,275,nekton,juv./adults,finfish,n.a./other finfish,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,recruits/juv.,Locality: Bikini.,34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5687,Abudefduf septemfasciatus,23440,5980,NA,NA,9137,plants,n.a./others,other plants,benthic algae/weeds,65,dominant ( > 50%),algae,unspecified algae,NA,NA,NA,NA,NA,NA,juv./adults,Indo-West Pacific Region. Commonness assumed from expanded Table 2 (p. 191) of Froese and Pauly (2000).,574,2001-07-10T00:00:00Z,NA,2001-07-10T00:00:00Z,NA,NA,NA
5687,Abudefduf septemfasciatus,12167,5980,Bikini.,584,275,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,recruits/juv.,Locality: Bikini.,34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5687,Abudefduf septemfasciatus,12168,5980,Bikini.,584,275,zoobenthos,juv./adults,benth. crust.,benth. copepods,NA,NA,unidentified,unidentified,NA,NA,NA,NA,NA,NA,recruits/juv.,Locality: Bikini.,34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5687,Abudefduf septemfasciatus,23441,5980,NA,NA,9137,zooplankton,juv./adults,other plank. invertebrates,n.a./other plank. invertebrates,20,common (6-20%),zooplankton,unspecified zooplankton,NA,NA,NA,NA,NA,NA,juv./adults,Indo-West Pacific Region. Commonness assumed from expanded Table 2 (p. 191) of Froese and Pauly (2000).,574,2001-07-10T00:00:00Z,NA,2001-07-10T00:00:00Z,NA,NA,NA
5687,Abudefduf septemfasciatus,12169,5980,Bikini.,584,275,zooplankton,larvae,plank. crust.,n.a./other plank. crustaceans,NA,NA,Palaemonidae,unidentified,NA,NA,NA,NA,NA,NA,recruits/juv.,Locality: Bikini.,34,1997-02-18T00:00:00Z,574,2001-07-10T00:00:00Z,NA,NA,NA
5688,Abudefduf sexfasciatus,12170,5981,NA,NA,9710,plants,n.a./others,other plants,benthic algae/weeds,19,common (6-20%),algae,unspecified algae,NA,NA,NA,NA,NA,NA,juv./adults,Also in Ref. 9137 (Indo-West Pacific Region). Commonness assumed from expanded Table 2 (p. 191) of Froese and Pauly (2000).,34,2000-08-29T00:00:00Z,574,2001-07-10T00:00:00Z,NA,NA,NA
5688,Abudefduf sexfasciatus,12171,5981,NA,NA,9710,zooplankton,juv./adults,other plank. invertebrates,n.a./other plank. invertebrates,61,dominant ( > 50%),zooplankton,unspecified zooplankton,NA,NA,NA,NA,NA,NA,juv./adults,Also in Ref. 9137 (Indo-West Pacific Region). Commonness assumed from expanded Table 2 (p. 191) of Froese and Pauly (2000).,34,2000-08-29T00:00:00Z,574,2001-07-10T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12172,5982,"Arno, Bikini and Eniwetok.",584,275,detritus,n.a./others,detritus,debris,5,rare (1-5%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12173,5982,"Arno, Bikini and Eniwetok.",584,275,nekton,juv./adults,finfish,n.a./other finfish,22,very common (21-50%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12174,5982,"Arno, Bikini and Eniwetok.",584,275,plants,n.a./others,other plants,benthic algae/weeds,NA,dominant ( > 50%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",10,1992-12-01T00:00:00Z,21,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12175,5982,"Arno, Bikini and Eniwetok.",584,275,zoobenthos,juv./adults,benth. crust.,amphipods,5,rare (1-5%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12176,5982,"Arno, Bikini and Eniwetok.",584,275,zoobenthos,juv./adults,benth. crust.,crabs,16,common (6-20%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",10,1992-12-01T00:00:00Z,34,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12177,5982,"Arno, Bikini and Eniwetok.",584,275,zoobenthos,juv./adults,benth. crust.,isopods,5,rare (1-5%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12178,5982,"Arno, Bikini and Eniwetok.",584,275,zoobenthos,juv./adults,benth. crust.,shrimps/prawns,5,rare (1-5%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12179,5982,"Arno, Bikini and Eniwetok.",584,275,zoobenthos,juv./adults,cnidarians,n.a./other polyps,5,rare (1-5%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12180,5982,"Arno, Bikini and Eniwetok.",584,275,zoobenthos,juv./adults,mollusks,bivalves,5,rare (1-5%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12316,5982,"Arno, Bikini and Eniwetok.",584,275,zoobenthos,juv./adults,other benth. invertebrates,n.a./other benth. invertebrates,16,common (6-20%),Foraminifera,Calcarina sp.,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,574,2001-07-10T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12317,5982,"Arno, Bikini and Eniwetok.",584,275,zoobenthos,juv./adults,worms,polychaetes,16,common (6-20%),unidentified,unidentified,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,NA,1997-11-18T00:00:00Z,NA,NA,NA
5689,Abudefduf sordidus,12318,5982,"Arno, Bikini and Eniwetok.",584,275,zooplankton,juv./adults,other plank. invertebrates,n.a./other plank. invertebrates,5,rare (1-5%),Acarina,mites,NA,NA,NA,NA,NA,NA,juv./adults,"Locality: Arno, Bikini and Eniwetok.",34,1997-02-18T00:00:00Z,574,2001-07-10T00:00:00Z,NA,NA,NA
4306,Acanthurus achilles,9582,4501,NA,NA,9267,plants,n.a./others,other plants,benthic algae/weeds,NA,NA,algae,unidentified filamentous algae,NA,NA,NA,NA,NA,NA,juv./adults,Locality: Not stated.,34,1993-09-30T00:00:00Z,34,2000-04-01T00:00:00Z,NA,NA,NA
